serial,question,option1,option2,option3,option4,correct,subject
11,Two persons start running simultaneously around a circular track of length 400 m from the same point at speeds of 15 kmph and 25 kmph. When will they meet for the first time any where on the track if they are moving in the opposite direction ?,144ÿ,36,124,32,b,quants
12," Anitha had 80 currency notes in all, some of which are ofÿ Rs 95 denomination and the remaining of Rs45 denomination. The total amount of all these currency notes was Rs. 4000. How much amount (in Rs)did she have in the denomination of Rs 45?",3500,ÿ72,ÿ2000,ÿNone of these,b,quants
13,"A person borrowed Rs.600 @ 3% per annumÿ S.I and Rs.800 @ 4« % per annum on the agreement that the whole sum will be returned only when the total interest becomes Rs.246. The number of years, after which the borrowed sum is to be returned, is",2 yearsÿÿÿÿÿÿÿÿ ,3yearsÿ,4 yearsÿÿÿÿÿÿÿÿ ,5 years,c,quants
14,"In a regular week, there are 5 working days and for each day, the working hours are 8. A man gets Rs. 2.40 per hour for regular work and Rs. 3.20 per hours for overtime. If he earns Rs. 432 in 4 weeks, then how many hours does he work for ?",160ÿÿÿ,175ÿÿÿ,180ÿÿÿ,195,b,quants
15,A large tanker can be filled by two pipes A and B in 60 minutes and 40 minutes respectively. How many minutes will it take to fill the tanker from empty state if B is used for half the time and A and B fill it together for the other half?,15 min,20 min,27.5 min,30 min,d,quants
16,"Threeÿ timesÿ a numberÿ is 20%ÿ moreÿ thanÿ twiceÿ anotherÿ numberÿÿ whenÿ increasedÿ byÿ 105.ÿ Ifÿ twice the firstÿ number increasedÿ by 36ÿ is 20%ÿ lessÿ thanÿ threeÿ timesÿ ofÿ theÿ secondÿ number,ÿ thenÿ whatÿ isÿ theÿ firstÿ number?",150,162,180,None ofÿ these,b,quants
17,". The seats in an Engineering college for Computer science, electronics and civil are in the ratio of 5 : 7 : 8. There is a proportion to increase these seats by 40%, 50% and 75% respectively. What will be the ratio of increased seats ?",2 : 3 : 4ÿÿÿÿ ,6 : 7 : 8ÿÿÿÿÿÿÿ ,6 : 8 :ÿ 9ÿÿÿÿÿÿ ,none of these,a,quants
18," From her school Meenu walks 20 metres towards north. She, then turns left and walks 40 metres. She again turns left and walks 20 metres. Further she moves 20 metres after turning to the right. How far is she from her original position?",20m,30m,50m,60m,d,reasoning
19,Two trains P and Q are travelling from station A to station B at speeds of 100kmph and 120 kmph respectively.Train Q at station C for 10 minutes but reaches station B 5 minutes before train P.Find the distance between stations A and B.,50km,100km,120km,150km,a,quants
20,"An enterprising businessman earns an income of Re 1 on the first day of his business. On every subsequent day, he earns an income which is just double of that made on the previous day. On the 20thday of business, he earns an income of:",Rs 2^19,ÿRs 2^20,ÿRs 202,ÿRs 20,a,quants
21,"The population of a town was 3600 three years back. It is 4800 right now. What will be the population three years down the line, if the rate of growth of population has been constant over the years and has been compounding annually?",6000ÿ,6400ÿ, 7200ÿ,9600,b,quants
22,"A sum of money was invested in a bank at 8%ÿ simple interest p.a. for 3 years. Instead had it been invested in mutual fund at 8.5% p.a. simple interest for 4 years, the earning would have been Rs.500 more. What is the sum invested?",Rs.4500ÿÿÿ,Rs.5000ÿ,Rs.3500ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ ,Rs. 5500,b,quants
23,Fourÿ anglesÿ ofÿ aÿ quadrilateralÿ areÿ inÿ G.P.ÿ Whoseÿ commonÿ ratioÿ isÿ anÿ intiger.ÿ Twoÿ ofÿ theÿ anglesÿ areÿ acuteÿ whileÿ theÿ otherÿ twoÿ areÿ obtuse.ÿÿ Theÿ measureÿ ofÿ theÿ smallestÿÿ angleÿ ofÿ theÿ quadrilateralÿ is,12,24,36,48,b,quants
24,"The probability that it is Friday and that a student is absent is 0.03. Since there are 5ÿschool days in a week, the probability that it is Friday is 0.2. What is the probabilityÿthat a student is absent given that today is Friday?",10%,15%,12%ÿÿÿÿÿÿÿÿÿÿÿÿÿÿ ,13%,b,quants
25,". A and B participate in a 5000 m bicycle race which is beingÿ run on a circular track of 500 m. If the speed of A and B are 20 m/s and 10 m/s respectively, what is the distance covered by A when he passes B for the seventh time ?",2500ÿm,2500ÿm,4000 m ÿÿÿÿÿÿ ,situation is not possible,d,quants
26,Two pipes can fill a tank in 12 minutes and 20 minutes respectively. Both pipes are opened together and after some time the first pipe is closed and the tank is full in totally 10 minutes. For how many minutes was first pipe open?,8 minutes, 6 minutes,7 minutes, 10 minutes,b,quants
27,"Amit throws a biased coin on which the head appears in 65% of the situations. In a game involving this coin, if Amit is paid Rs.15 per head and he has to pay Rs.20 for a tail, then in the long run, per game Amit makes an average??",Profit of Rs.2.25ÿÿÿÿ,loss of Rs.2.25ÿÿÿÿ,profit of Rs.2.75ÿÿÿÿ,loss of Rs.2.75,c,quants
28,"Pipe A can fill a tank in 'a' hours. On account of a leak at the bottom of the tank it takes thrice as long to fill the tank. How long will the leak at the bottom of the tank take to empty a full tank, when pipe A is kept closed?",(3/2)a hoursÿÿÿÿÿÿÿÿÿÿÿÿÿ,(2/3)aÿÿÿÿÿÿÿÿÿÿÿÿÿÿ, (4/3)aÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,(3/4)a,a,quants
29,"Inÿ anÿ examinationÿ amarÿ gotÿ 8%ÿ lessÿ thanÿ theÿ passÿ markÿ andÿ mohanÿ gotÿ 20%ÿ moreÿ thanÿ theÿ passÿ mark.ÿ Ifÿ theÿ differenceÿ betweenÿ theÿ percentageÿ ofÿ theirÿ markÿ isÿ 14,ÿ thenÿ whatÿ isÿ theÿ passÿ percentage",40%,50%,60%,cannotÿ beÿ determined.ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,b,quants
30,"Out of 200 donors, 1 by 4 are men and remaining are women. Each male donor donates Rs.3000 per year and each female donor donates 1 by 2 of that amount. What is the total yearly collection through donations?ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ","Rs.1, 50,000"," Rs.3, 75,000","Rs.1, 40,300","Rs.2, 25,000",b,quants
31,"Theÿ averageÿ markÿ ofÿ aÿ classÿ ofÿ twentyÿ studentsÿ isÿ 64.ÿ Ifÿ threeÿ studentsÿ whoseÿ marksÿareÿ 32,28ÿ andÿ 34ÿ areÿ removedÿ ,ÿ thenÿ findÿ theÿ approximateÿ averageÿ markÿ ofÿ theÿ remainingÿstudentsÿ ofÿ theÿ class.",71,ÿÿÿÿ 74,ÿÿÿÿ  57,ÿÿÿÿ  70ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,d,quants
32," A sum of Rs.100 is lent at simple interest of 3% p.a. for the first month, 9% p.a. for the second month, 27% p.a. for the third month and so on. What is the total amount of interest earned at the end of the year approximately",Rs.797160ÿÿ ,Rs.791160,Rs.65930ÿÿÿÿÿ ,Rs.66430,d,quants
33,"A man and a woman 81 miles apart from each other, start traveling towards each other at the same time. If the man covers 5 miles per hour to the women's 4 miles per hour, how far will the woman have travelled when they meet?",27ÿÿÿÿÿÿÿÿÿÿÿÿÿ, 36ÿÿÿÿÿÿÿÿÿÿÿÿÿ, 45ÿÿÿÿÿÿÿÿÿÿÿÿÿ, None of these,b,quants
34,"Ajay, Bhavan and Chetan started a business together. Thrice the investment of Ajay, twice the investment of Bhavan and the investment of Chetan are equal. Find the ratio of their respective profits at the end of the year?",01:02:01, 2:3:6,03:02:01, 1:2:3,b,quants
35," A, B and C enter into a partnership and theirs shares are in the ratio 1/2 : 1/3 : 1/4. After two months, A withdraws half of his capital and after 10 months, a profit of Rs.378 is divided among them. What is B?s share?", Rs.129, Rs.144, Rs.156,Rs.168,b,quants
36,"Two pipes A and B together can fill a cistern in 4 hours. Had they been opened separately, then B would have taken 6 hours more than A to fill the cistern. How much time will be taken by A to fill the cistern separately?",1 hour,2 hours,6 hours,8 hours,c,quants
37,"Equalÿ weightsÿÿ ofÿ twoÿ alloysÿ containingÿ tin, copperÿ andÿ leadÿ inÿ theÿ ratioÿÿ 3:2:7ÿ andÿ4:11:3ÿ areÿ meltedÿÿ andÿ mixedÿ together.ÿ Whatÿ isÿ the ratioÿ ofÿ tin,ÿ copperÿ andÿ leadÿ inÿ theÿresultantÿ alloy?",41:81:37,33:91:81, 17:28:27, 51:86:89ÿÿÿÿÿÿ,c,quants
38,"Howÿ manyÿ kilogramsÿ ofÿ teaÿ powder costingÿÿ Rs. 31ÿ perÿ kgÿ beÿ mixedÿ withÿ 36ÿ kilogramsÿ ofÿteaÿ powderÿ costingÿ Rs. 43 per kg,ÿ suchÿ thatÿ theÿ mixtureÿ whenÿ soldÿ atÿ Rs. 44 per kgÿ givesÿprofitÿ of 10%?",12,15,20,10,a,quants
39,"In a partnership, A invests 1 / 6 of the capital for 1 /6 of the time, B invests 1 / 3 of the capital for 1 / 3 of the time and C, the rest of the capital for the whole time. Out of a profit of Rs.4600, B?s share is:",Rs.650,Rs.800, Rs.960, Rs.1000,b,quants
40,Theÿ averageÿ ageÿ ofÿ aÿ committeeÿ ofÿ 8ÿ membersÿ isÿ 40ÿ years. A member agedÿ 55ÿ yearsÿretiredÿ andÿ hisÿ placeÿ wasÿ takenÿ byÿ anotherÿ memberÿ agedÿ 39ÿ years . Theÿ averageÿ ageÿ ofÿpresentÿ committeeÿ is;, 39 years,ÿÿÿ 38 years,ÿÿÿ 36 years,ÿÿÿ 35 years,b,quants
41,A man invests Rs.5000 for 3 years at 5% p.a. compound interest reckoned yearly. Income tax at the rate of 20% on the interest earned is deducted at the end of each year. Find the amount at the end of the third year.,5624.32ÿ,5630.50ÿ,5788.125ÿ,5627.2,a,quants
42,"Two pipes can fill a tank in 15 minutes and 12 minutes. The outlet pipe can empty the tank in 20 minutes. If all the pipes are opened when, the tank is empty, then in how many minutes will it take to fill the tank?",12,13,11,10,d,quants
43,"In a garden, there are 12 rows and 14 columns of mango trees. The distance between two trees is 2 metres and a distance of one metre is left from all sides of the boundary of the garden. The length of the garden is",20m, 22m,24m,26m,d,quants
44,"In an examination, a student scores 4 marks for every correct answer and loses 1mark for every wrong answer. If he attempts all 90 questions and secures 140 marks, the number of questions he attempts correctly, is:",35,40,42,46,d,quants
45,"Three pipes A, B and C can fill a tank in 6 hours. After working at it together for 2 hours, C is closed and A and B can fill the remaining part in 7 hours. The number of hours taken by C alone to fill the tank is:",10,12,14,16,c,quants
46,The speed of a motorboat itself is 20 km/h and the rate of flow of the river is 4 km/h. Moving with the stream the boat went 120 km. What distance will the boat cover during the same time going against the stream?,80 kmÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,180 kmÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,60 kmÿÿÿÿÿÿ, 100 km,a,quants
47,"A watch, which loses time uniformly, was observed to be 5 minutes fast at 8.00 p.m.on Thursday. It was noticed to be 7 minutes slow at 8.00 a.m. on the subsequent Monday. When did the watch show the correct time ?",   7 a.m. saturday          ,   7 a.m. friday          ,10  am on Sunday, 11 am on Friday,a,reasoning
48," The average temperature on Wednesday, Thursday and Friday was 250. The average temperature on Thursday, Friday and Saturday was 240. If the temperature on Saturday was 270, what was the temperature on Wednesday?",240ÿÿÿÿ,210ÿÿÿÿÿÿÿÿ,270ÿÿÿÿÿÿÿÿÿÿÿÿÿ,300,d,quants
49,A merchant buys two articles for Rs.600. He sells one of themat a profit of 22% and the other at a loss of 8% and makes no profitor loss in the end. What is the selling price of the article that hesold at a loss?,Rs. 404.80, Rs. 440,Rs. 536.80,Rs. 160,a,quants
50,"One-third of Rahul's savings in National Savings Certificate is equal to one-half of his savings in Public Provident Fund. If he has Rs. 1,50,000 as total savings, how much has he saved in Public Provident Fund ?"," Rs. 30,000ÿÿÿÿ"," Rs. 50,000ÿÿ","Rs. 60,000ÿÿÿ","Rs. 90,000",c,quants
51,"A passenger train covers the distance between stations X and Y, 50 minutes faster than a goods train. Find this distance if the average speed of the passenger train is 60 kmph and that of goods train is 20 kmph.",20 kms ÿÿÿÿÿÿÿÿÿÿÿ,25 kms ÿÿÿÿ, 45 kms ÿÿÿÿ, 40 kms,b,quants
52,". A red light flashes 3 times per minute and a green light flashes 5 times in two minutes at regular intervals. If both lights start flashing at the same time, how many times do they flash together in each hour?",30,24,20,60,a,quants
53,Aÿ singleÿ refinedÿ oilÿ canÿ containsÿ 20%ÿ impurities.ÿ Afterÿ double ? refiningÿ itÿ containsÿ 4% impurities.ÿ Howÿ muchÿ ofÿ double- refinedÿ oilÿ canÿ beÿ obtainedÿ fromÿ 30ÿ litresÿ of singleÿrefinedÿ oil?,24.0 litres,24.8 litres, 25.0 litres,25.5 litresÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,c,quants
54,"One evening, two friends Riya and Priya were talking to each other, with their backs towards each other, sitting in a park. If Riya?s shadow was exactly to the left of her, then which direction was Priya facing?",North-East,North,east,south,b,reasoning
55,"A man can do a piece of work in 60 hours. If he takes his son with him and both work together then the work is finished in 40 hours. How long will the son take to do the same job, if he worked alone on the job?",0 hoursÿ, 120 hoursÿ,24 hoursÿÿÿ, None of these,b,quants
56,A and B can do a piece of work in 21 and 24 days respectively. They started the work together and after some days A leaves the work and B completes the remaining work in 9 days. After how many days did A leave?,5,7,8,6,b,quants
57,"ÿAfter walking 6 kms, I turned right and travelled a distance of 2 kms, then turned left and covered a distance of 10 km. In the end I was moving towards the north. From which direction did I start my journey?",North,South,South-west,North-east,b,reasoning
58,ÿFifteen boys are standing in a row facing opposite direction alternately from left to right. If the fourth boy from left is facing towards the east then the fifth boy from the right is facing which direction?,south,north-west,east,None of these,d,reasoning
59,Amit and Ananthu can do a work in 15 days and 25 days respectively. Amit started the work and left after 3 days. Ananthu took over and completed the work. In how many days was the total work completed?ÿÿÿÿÿÿÿ,28 days, 20 days,23 days,25 days,a,quants
60,Two pipes can fill a tank in 20 and 24 minutes respectively and a waste pipe can empty 3 gallons per minute. All the three pipes working together can fill the tank in 15 minutes. The capacity of the tank is:,60 gallons,100 gallons,120 gallons,180 gallons,c,quants
61,"Two trains T1 and T2 start simultaneously from two stations X and Y respectively towards each other. If they are 70 km apart both 3ÿ and 6 hours after start, then find the distance between the two stations.",210 km ÿÿÿÿÿÿ ,240 kmÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ ,220km,180km,a,quants
62, The ratio of number of boys and girls in a class is 3 : 2.ÿ In the 1stÿsemester exam 20% of boys and 25% of girls get more than or equal to 90%ÿ marks. What percentage of students get less than 90% marks ?,56,70,78,80,c,quants
63,"Ajith and Rana walk around a circular course 115 km in circumference, starting together from the same point. If they walk at speed of 4 and 5 kmph respectively, in the same direction, when will they meet ?",after 20 hours ,after 115 hoursÿÿÿ ,after 115 minutesÿÿÿ ,after 20 minutesÿ,b,quants
64,A jogger running at 9 kmph alongside a railway track in 240 metres ahead of the engine of a 120 metres long train running at 45 kmph in the same direction. In how much time will the train pass the jogger?,3.6 sec,18 sec,36 sec,72 sec,c,quants
65," Inÿ sevenÿ givenÿ numbers, theÿ averageÿ ofÿ firstÿ fourÿ numbersÿ isÿ 4ÿ andÿ that ofÿ theÿ lastÿ fourÿnumbersÿ isÿ alsoÿ 4.ÿ Ifÿ theÿ averageÿ ofÿ theseÿ sevenÿ numbersÿ isÿ 3,ÿ theÿ fourthÿ numberÿ is",3,4,7,11,d,quants
66,"Two pipes A and B can fill a tank in 15 minutes and 20 minutes respectively. Both the pipes are opened together but after 4 minutes, pipe A is turned off. What is the total time required to fill the tank?",10 min. 20 sec.,11 min. 45 sec.,12 min. 30 sec.,14 min. 40 sec.,d,quants
67,"A, B and C started a business with capitals of Rs.6000, Rs.8000, and Rs.10000 respectively. At the end of the year, the profit share of B is Rs1000. The difference between the profit shares of A and C is",Rs. 400, Rs. 450, Rs. 500, Rs. 550,c,quants
68,"Three partner?s A,B,C start a business. Twice A?s capital is equal to thrice B?s capital and B?s capital is four times C?s capital. Out of a total profit of Rs.16500 at the end of the year, B?s share is:",Rs.4000,Rs.6000,Rs 7500, Rs.6600,b,quants
69,If the letters of the word CHASM are rearranged to form 5 letter words such that none of the word repeat and the results arranged in ascending order as in a dictionary what is the rank of the word CHASM?,24ÿ,31ÿ, 32ÿ,30,c,quants
70,"Four milkmen rented a pasture. A grazed 24 cows for 3 months, B 10 cows for 5 months, C 35 cows for 4 months and D 21 cows for 3 months. If A?s share of rent is Rs.720, find the total rent of the field.", Rs.3250, Rs.3350,Rs.3450, Rs.3550,a,quants
71,"A bag contains 5 five-rupee coins, 8 two-rupee coins and 7 one-rupee coins. If four coins are drawn from the bag at random, then find the odds in favour of the draw yielding the maximum possible amount.",0.713888889,968:969ÿÿÿÿÿÿÿÿÿÿ,0.714583333,969:968,a,quants
72," Rs.5887 is divided between Shyam and Ram, such that Shyam's share at the end of 9 years is equal to Ram's share at the end of 11 years, compounded annually at the rate of 5%. Find the share of Shyam.",2088ÿ,2000ÿ, 3087ÿ,None of these,c,quants
73," P,Q and R enter into a partnership in the ratio 7/2 : 4/3 : 6/5. After 4 months, A increases his share by 50%. If the total profit at the end of one year be Rs.21600, then B?s share in the profit is:",Rs.2100, Rs 2400,Rs.3600, Rs.4000,d,quants
74,"A and B working together can finish a job in T days. If A works alone and completes the job, he will take T + 5 days. If B works alone and completes the same job, he will take T + 45 days. What is T?",25,60,15,None of these,c,quants
75," A vessel is filled with liquid, 3 parts of which are water and 5 parts syrup. How much of the mixture must be drawn off and replaced with water so that the mixture may be half water and half syrup?",1/3ÿÿÿÿÿÿÿÿÿÿÿÿÿÿ, 1/4ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,1/5ÿÿÿÿÿÿÿÿÿÿÿÿÿÿ, 1/7,c,quants
76,Two trains are moving in opposite directions @ 60 km/hr and 90 km/hr. Their lengths are 1.10 km and 0.9 km respectively. The time taken by the slower train to cross the faster train in seconds is:,36,45,48,49,c,quants
77,I travel the first part of my journey at 40 kmph and the second part at 60 kmph and cover the total distance of 240 km to my destination in 5 hours. How long did the first part of my journey last?,4 hoursÿ ,2 hoursÿ ,3 hoursÿ ,2 hours 24 minutes,c,quants
78,"A trader buys goods at a 19% Amount on the label price. If hewants to make a profit of 20% after allowing a Amount of 10%, by what% should his marked price be greater than the original labelprice?",8%,-3.80%,33.33%, None of these,a,quants
79,A man driving his bike at 24 kmph reaches his office 5 minutes late. Had he driven 25% faster on an average he would have reached 4 minutes earlier than the scheduled time. How far is his office?,24 kmÿ, 72 kmÿ,18 kmÿ, Data Insufficient,c,quants
80,"A piece of work can finish by a certain number of men in 100 days. Ifÿ however, there were 10 men less, it would take 10 days more for the work to be finished. How many men were there originally?",75ÿ,82ÿ,100ÿ,110,d,quants
81,The simple Interest on a certain sum of money at the rate of 4% p.a.ÿ for 5 years is Rs. 1680. At what rate of interest the same amount of interest can be received on the same sum after 4 years ?,5%ÿÿ ÿÿÿ ÿÿÿ ,6%,7%,8%,a,quants
82,"Sita and Sinu together can do a work in 50 days. With the help of Smitha, they completed the work in 6 days and earn Rs.250. What is the share of Sinu if Sita alone can do the work in 100 days?",Rs.15,Rs.18, Rs.20,Rs.25,a,quants
83,"Inÿ anÿ examinationÿ itÿ isÿ necessaryÿ forÿ aÿ candidateÿ toÿ getÿÿ 45 %ÿ ofÿ theÿ maximumÿ marksÿ toÿ pass. Aÿ candidateÿ whoÿ getsÿ 180ÿ marks, fails byÿ 45 marks. Findÿ theÿ maximumÿ marks.",450,600,500,550,c,quants
84,"Two trains 140 m and 160 m long run at the speed of 60 km/hr and 40 km/hr respectively in opposite directions on parallel tracks. The time (in seconds) which they take to cross each other, is:",9,9.6,10,10.8,d,quants
85,"Anu can do a work in 6 days and Binu alone in 9 days. Anu and Binu undertook to do it for Rs.4500. With help of Minu, they completed the work in 3 days. How much is to be paid to Minu and Anu?","Rs.750, Rs.2250"," Rs.2000, Rs.750"," Rs.750, Rs.2000"," Rs.800, Rs.1250",a,quants
86,The average age of a family of 5 members is 20 years. If the age of the youngest member be 10 years then what was the average age of the family at the time of the birth of the youngest member?,13.5ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14ÿÿÿÿÿÿÿÿÿÿÿÿÿ,15 ÿÿ ÿÿÿÿÿÿÿÿÿÿÿÿ,12.5,d,quants
87,"Inÿ anÿ A.Pÿ consistingÿ ofÿ 27ÿ terms,ÿ theÿ sumÿ ofÿ theÿ firstÿ threeÿ termsÿ isÿ 21ÿ andÿ thatÿ of theÿ threeÿ middleÿ termsÿ isÿ 93.ÿ Findÿ theÿ firstÿ termÿ andÿ theÿ commonÿ difference.","6,3","6,23","7,3","5,2ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ",d,quants
88,Two trains running in opposite directions cross a man standing on the platform in 27 seconds and 17 seconds respectively and they cross each other in 23 seconds. The ratio of their speeds is:,01:03,03:02,03:04,None of these,b,quants
89,"A bag contains 50 paisa, 20 paisa and 10 paisa coins in the ratio 5:3:1.If the total amount in the bag is 640 Rs,find the difference in the amounts contributed by 50 paisa and 20 paisa coins.",Rs.300ÿÿ, Rs.400ÿÿ, Rs.380ÿÿ, None of these,c,quants
90,"Two pipes A and B can fill a cistern in 37 and halfÿminutes and 45 minutes respectively. Both pipes are opened. The cistern will be filled in just half an hour, if the B is turned off after:",5 min.,9 min.,10 min.,15 min.,b,quants
91,Two trains of equal length are running on parallel lines in the same direction at 46 km/hr and 36 km/hr. The faster train passes the slower train in 36 seconds. The length of each train is:,50 m,72 m,80 m,82 m,a,quants
92," Theÿ averageÿ ageÿ ofÿ 40ÿ studentsÿ isÿ 8 years.ÿ Ifÿ the age ofÿ teacherÿ isÿ alsoÿ includedÿ , thenÿtheirÿ averageÿ ageÿ increasesÿ by halfÿ aÿ year.ÿ Whatÿ is the ageÿ ofÿ the teacher?", 45 years, 48.5 years,28.5 years,ÿ26.5 yearsÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,c,quants
93,"Aÿ solutionÿ ofÿ 66ÿ litresÿ containsÿ milkÿ andÿ waterÿ inÿ theÿ ratioÿ 7:x.ÿ Ifÿ fourÿ litresÿ ofÿ waterÿ isÿadded toÿ theÿ solution,ÿ theÿ ratioÿ becomesÿ 3:2,ÿ findÿ theÿ valueÿ ofÿ x?",8,5,3,4,d,quants
94," A sum of Rs.13000 is divided into three parts such that the simple interests accrued on them for two, three and four years respectively may be equal. Find the amount deposited for 4 years",5000,6000,4000,3000,d,quants
95," Arjun started a business with Rs. 20,000 and is joined afterwards by Anoop with Rs.30, 000. After how many months did Anoop join if the profits at the end of the year are divided equally?",3,4,5,6,b,quants
96," Tea worth Rs. 126 per kg and Rs. 135 per kg are mixed with a third variety in the ratio 1 : 1 : 2. If the mixture is worth Rs. 153 per kg, the price of the third variety per kg will be:",Rs. 169.50ÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,Rs. 170ÿÿÿÿÿ,Rs. 175.50 ÿÿÿÿÿÿÿÿÿÿÿ,Rs. 18,c,quants
97,"Theÿ populationÿ of a townÿ increaseÿ annually by 20% .ÿ Ifÿ theÿ presentÿÿ populationÿ isÿ 2,00,000, thenÿ whatÿ isÿ theÿ differenceÿ inÿ populationÿ afterÿ twoÿ yearsÿ andÿ three years","ÿ63,250","ÿ48,800","60,800","57,600",d,quants
98,A 270 metres long train running at the speed of 120 kmph crosses another train running in opposite direction at the speed of 80 kmph in 9 seconds. What is the length of the other train?,230 m,240 m,260 m,320 m,a,quants
99," Theÿ salariesÿ ofÿ A andÿ Bÿ togetherÿ isÿ Rs. 14,000. A spend 80%ÿ ofÿ hisÿ salaryÿ andÿ Bÿ spendsÿ 85%ÿ ofÿ hisÿ salary. Whatÿ isÿ theÿ salaryÿ ofÿ Bÿ ifÿ theirÿ savingsÿ areÿ equal?","Rs. 6,000","Rs. 8,000","Rs. 7,500"," Rs. 6,500",b,quants
100,"A man moves from A to B at the rate of 4 km/hr. Had he moved at the rate of 3.67 km/hr, he would have taken 3 hours more to reach the destination. What is the distance between A and B?",33 kmsÿ, 132 kmsÿ,36 kmsÿ,144 kms,b,quants
101,X alone can do a piece of work in 15 days and Y alone can do it in 10 days. X and Y undertook to do it for Rs.720. With the help of Z they finished it in 5 days. How much is paid to Z?,Rs.360ÿ, Rs.120ÿ, Rs.240ÿ, Rs.300,b,quants
102," If the simple interest on a sum of money at twelve percent per annum for two years is Rs.3800, compound interest on the same sum for the same period at the same rate of interest is", Rs.4028ÿÿÿÿÿÿ ÿÿÿÿÿ ÿÿÿÿÿÿÿ ÿÿÿ,Rs.4100ÿÿ,Rs.4128,Rs.4228,a,quants
