serial,question,option1,option2,option3,option4,correct,subject
16,The difference between the local value and face value of 7 in the      numeral 657903 is:,0,7896,6993,903,c,quants
17,"The sum of three prime numbers is 100. If one of them exceeds another by 36, then one of the numbers is:",7,29,41,67,d,quants
18, The unit?s digit in the product (3127)173ÿÿis:,1,3,7,9,c,quants
19,(51+52+53+???+100) is equal to:,2525,2975,3225,3775,d,quants
20,"5b2 is a three-digit number with b as a missing digit. If the number is divisible by 6, the missing digit is:",2,3,6,7,a,quants
21,"6. How many of the following numbers are divisible by 3 but not by 9?2133, 2343, 3474, 4131, 5286, 5340, 6336, 7347, 8115, 9276",5,6,7,None of these,b,quants
22,"The value of P, when 4864 x 9P2 is divisible by 12, is:",2,5,8,None of these,d,quants
23,"How many of the following numbers are divisible by 132?264, 396, 462, 792, 968, 2178, 5184, 6336",4,5,6,7,a,quants
24, The number 311311311311311311311 is:,divisible by 3 but not by 11,divisible by 11 but not by 3,divisible by both 3 and 11,neither divisible by 3 nor by 11,d,quants
25,The largest natural number which exactly divides the product of any four consecutive natural numbers is:,6,12,24,120,c,quants
26, The sum of three consecutive odd numbers is always divisible by  I. 2ÿÿ II. 3ÿÿÿÿIII. 5ÿÿ IV. 6,only 1,only 2,only  1 and 2,only 2 and 4,b,quants
27,The least number which must be subtracted from 6709 to make it exactlyÿ divisible by 9 is:,2,3,4,5,c,quants
28," The least number by which 72 must be multiplied in order to produce a multiple of 112, is:",6,12,14,8,c,quants
29," On dividing a number by 999, the quotient is 366 and the remainder is 103. The number is:",364724ÿ,365387ÿ,365737ÿ,366757,c,quants
30," When a number is divided by 31, the remainder is 29. When the same number is divided by 16, what will be the remainder?",11,13,15,data inadequeate,d,quants
31,"A number when divided by 6 leaves a remainder 3. When the square of the same number is divided by 6, the remainder is:",0,1,2,3,d,quants
32,"If x is a whole number, then x2(x2-1) is always divisible by:",12,24,12-x,multiple of 12,a,quants
33," A number when divided successively in order by 4, 5 and 6. The remainders were respectively 2, 3 and 4. The number is:",214,476,954,1908,a,quants
34," A number when divided by 3 leaves a remainder 1. When the quotient is divided by 2, it leaves a remainder 1. What will be the remainder when the number is divided by 6?",2,3,4,5,c,quants
35,A number when divided b the sum of 555 and 445 gives two times their difference as quotient and 30 as the remainder. The number is:,1220ÿÿ,1250ÿ,22030,22030,d,quants
36,The binary equivalent of the decimal number 125 is,1100100,1111101,1101100,1111111,b,quants
37,The hexa decimal equivalent of the decimal number 128 is,128,175,80,81,c,quants
38,The decimal number 1356 expressed in octal system equals,2514,125,353,235,a,quants
39,The decimal conversion of the binary number (1111)2ÿis?..,31,15,13,14,b,quants
40,The sum of (101101)2ÿand (111011)2ÿis,1010110,1101000,1000110ÿ,1110010,b,quants
41,The square root of (2011)5ÿis,(21)5 ÿ ÿ ÿ,(31)5ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ ,(121)5ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ ,(41)5,b,quants
42,The sum of (6E)16ÿand (3B)12ÿis,(157)10ÿ ÿ ÿ ÿ,(137)11,(166)8,(192)7,a,quants
43,The decimal equivalent of hexa-decimal number (ABC)16,2847ÿ,2748,7428,1478,b,quants
44,The decimal fraction 0.75 in the binary system equals,0.11 ÿ ÿ ÿ ÿ ,0,0.1,0.111,a,quants
45,The octal equivalent to the binary (11010)2ÿis,26,32,28,30,a,quants
46,117 * 117 + 83 * 83 = ?,20698,20578,21698,21268,b,quants
47,(1/4)3 + (3/4)3 + 3(1/4)(3/4)(1/4 + 3/4) =?,Jan-64,27/64,49/64,1,d,quants
48,"The difference of two numbers is 1365. On dividing the larger number by the smaller, we get 6 as quotient and 15 as reminder. What is the smaller number ?",240,270,295,360,b,quants
49,The 7th digit of (202)3ÿis,2,4,8,6,c,quants
50,H.C.F. of two numbers is 16. Which one of the following can never be their L.C.M,32,80,64,60,d,quants
51,What is the remainder when 9^1+ 9^2 + 9^3 + .... + 9^8 is divided by 6?,3,2,0,5,c,quants
52,The sum of the first 100 natural numbers is divisible by,"2, 4 and 8",2 and 4,2 only,None of these,c,quants
53,For what value of 'n' will the remainder of 351nÿand 352nÿbe the same when divided by 7?,2,3,6,4,b,quants
54,"Let n be the number of different 5 digit numbers, divisible by 4 with the digits 1, 2, 3, 4, 5 and 6, no digit being repeated in the numbers. What is the value of n?",144ÿÿ,168,192ÿÿ,None of these,c,quants
55,"Find the greatest number of five digits, which is exactly divisible by 7, 10, 15, 21 and 28.",99840,99900ÿ,99960ÿ,99990,c,quants
56,. A boy runs 200 metresÿ in 24 seconds. What is his speed ?,20 km/hr, 24 km/hr, 28.5 km/hr,30 km/hr,d,quants
57,"If the speed of a man is 45 km per hour, then what is the distance traveled by him in 30 seconds ?",275m,360mÿ,375 m,420 m,c,quants
58,"An escalator moves towards the top level at the rate of 11 ft.sec and its length is 140 feet. If a person walks on the moving escalator at the rate of 3 feet per second towards the top level, how much time does he take to cover the entire length.",14 secÿÿÿÿÿÿÿÿÿ ,10 secÿÿÿÿÿÿÿÿÿ ,12 secÿÿÿÿÿÿÿÿÿ ,8 sec,b,quants
59,"Two trains, 250 metres and 150 metres long respectively, are running on parallel lines. If they are running in the same directions, the faster train crosses the slower train in 40 seconds. If they are moving in the opposite direction they pass each other in eight seconds. What is the speed of the slower train?",108kmphÿ,82kmph,92 kmphÿÿÿÿÿÿ ,72 kmph,d,quants
60,"Two persons , Ram & Lakshman , who are at a distance of 100 km from each other, move towards each other from two places P and Q at speeds of 20 kmph and 25 kmph respectively. Lakshman reaches P, returns immediately and meets Ram at R, who started on the return journey to P immediately after reaching Q. What is the distance between Q and R?",33 1/3 km ÿ ,25 km ÿÿÿÿÿÿÿÿ ,30kmÿ,27 1/3ÿ km,a,quants
61,"With out any halt a trainÿ travels a certain distance with an average speed of 75 km ph , and with halts it covers the same distance at an average speed of 60 kmph. When it is traveling with halts, how many minutes/per hour does the train halt on an average ?",48 min. ÿÿÿÿÿÿÿ ,12min.ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ ,15min.ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ ,18min.,b,quants
62,"In a 1000 m race Usha beats Shiny by 50 m. In the same race, by what time margin Shiny beat Mercy who runs at 4 m/s ?",100 sec.ÿÿÿÿÿÿ ,50 secÿÿÿÿÿÿÿÿ ,25 secÿÿÿÿÿÿÿÿÿ ,Data not sufficient,b,quants
63,". A and B participate in a 5000 m bicycle race which is beingÿ run on a circular track of 500 m. If the speed of A and B are 20 m/s and 10 m/s respectively, what is the distance covered by A when he passes B for the seventh time ?",2500ÿm,2500ÿm,4000 m ÿÿÿÿÿÿ ,situation is not possible,d,quants
64,"Two busesÿ A and B leave the same bus depot, A towards the North and B towads the East. The bus A travels at a speed of 5 km/hr more than that of the bus B. If after four hours the distance between the two buses is 100 km, find the speed of the bus A.",60 kmphÿÿÿÿÿ ,40 kmphÿÿÿÿÿ ,20 kmphÿÿÿÿÿ ,15 kmph,c,quants
65,A person traveled from his house to office at 30 kmph; then he was late to his office by 5 minutes. If he increases his speed by 10 kmph he would be early by 15 minutes to his office. What should be his speed so that he reaches his office on time ?,36 kmphÿÿÿÿ ,32 kmphÿÿÿÿÿ ,34 kmphÿÿÿÿÿ ,35 kmph,b,quants
66,A train 575 m long crosses a tunnelÿ of length 325ÿ in 90 sec. What is the speed of the train in kmph.,28ÿ,32ÿ,36ÿ,24ÿ,c,quants
67,"A train which has 390 m long, is running 45 kmph. In what time will it cross a person moving at 9 kmph in same direction ?",26 secÿÿÿÿÿÿÿÿÿ ,39 secÿÿÿÿÿÿÿÿÿ ,36 secÿÿÿÿÿÿÿÿÿÿ ,29 sec.,b,quants
68,Two persons start running simultaneously around a circular track of length 400 m from the same point at speeds of 15 kmph and 25 kmph. When will they meet for the first time any where on the track if they are moving in the opposite direction ?,144ÿ,36,124,32,b,quants
69,"Twoÿ persons C & D started traveling from A and B which are 300 km apart, towards B andÿ A respectively at 1.00 p.m. C travels at a constant speed of 30 kmph whereas D doubles his speed every hour. If D reaches A in 4 5/8 hours, at what time did C and D meet each other ?",4:30 p.m.ÿÿÿÿ ,4:40 p.m.,5:00 p.m.ÿÿ,5:10 p.m. ÿ,c,quants
70,"Two trains T1 and T2 start simultaneously from two stations X and Y respectively towards each other. If they are 70 km apart both 3ÿ and 6 hours after start, then find the distance between the two stations.",210 km ÿÿÿÿÿÿ ,240 kmÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ ,220km,180km,a,quants
71,"Ajith and Rana walk around a circular course 115 km in circumference, starting together from the same point. If they walk at speed of 4 and 5 kmph respectively, in the same direction, when will they meet ?",after 20 hours ,after 115 hoursÿÿÿ ,after 115 minutesÿÿÿ ,after 20 minutesÿ,b,quants
72,"There are 4 people who has to cross a stretch of 300 km. They normally run at a speed of 10 kmph. One of them has a bike that travels at 50 kmph. The bike first takes one person alone and crosses the stretch while the other two keep running. Then he comes back without wasting time and picks up another person from the way, drives him across the stretch, and does the same for the last person. How long does this whole process take?",24 hrsÿÿÿÿÿÿÿÿÿÿ ,16 hrs ÿÿÿÿÿÿÿÿÿ ,56/3 hrsÿÿÿÿÿÿ ,58/3 hrs,d,quants
73,"Two trains of equal length 120 metres move in the same direction. The faster train completely overtakes the slower one in 15 seconds. If the slower train were to move at half its speed, the over taking would take in 10 seconds. At what speeds are the 2 trains moving (faster and slower respectively in m/s)","24, 22 ","32, 16 ","30, 18 ","28, 14",b,quants
74,"Train A traveling at 60 km/hr leaves Mumbai for Delhi at 6 P.M. Train B traveling at 90 km/hr also leaves Mumbai for Delhi at 9 P.M. Train C leaves Delhi for Mumbai at 9 P.M. If all three trains meet at the same time between Mumbai and Delhi, what is the speed of Train C if the distance between Delhi and Mumbai is 1260 kms?",60 km/hrÿÿÿÿÿÿÿÿÿÿÿÿÿ,90 km/hrÿÿ,120 km/hrÿÿÿÿ,135 km/hr,c,quants
75,"Two trains A and B start simultaneously from stations X and Y towards each other respectively. After meeting at a point between X and Y, train A reaches station Y in 9 hours and train B reaches station X in 4 hours from the time they have met each other. If the speed of train A is 36 km/hr, what is the speed of train B?",24 km/hrÿ,54 km/hrÿ, 81 km/hrÿ,16 km/hr,b,quants
76,"A man moves from A to B at the rate of 4 km/hr. Had he moved at the rate of 3.67 km/hr, he would have taken 3 hours more to reach the destination. What is the distance between A and B?",33 kmsÿ, 132 kmsÿ,36 kmsÿ,144 kms,b,quants
77,A man driving his bike at 24 kmph reaches his office 5 minutes late. Had he driven 25% faster on an average he would have reached 4 minutes earlier than the scheduled time. How far is his office?,24 kmÿ, 72 kmÿ,18 kmÿ, Data Insufficient,c,quants
78,"A man and a woman 81 miles apart from each other, start traveling towards each other at the same time. If the man covers 5 miles per hour to the women's 4 miles per hour, how far will the woman have travelled when they meet?",27ÿÿÿÿÿÿÿÿÿÿÿÿÿ, 36ÿÿÿÿÿÿÿÿÿÿÿÿÿ, 45ÿÿÿÿÿÿÿÿÿÿÿÿÿ, None of these,b,quants
79,The speed of a motorboat itself is 20 km/h and the rate of flow of the river is 4 km/h. Moving with the stream the boat went 120 km. What distance will the boat cover during the same time going against the stream?,80 kmÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,180 kmÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,60 kmÿÿÿÿÿÿ, 100 km,a,quants
80,I travel the first part of my journey at 40 kmph and the second part at 60 kmph and cover the total distance of 240 km to my destination in 5 hours. How long did the first part of my journey last?,4 hoursÿ ,2 hoursÿ ,3 hoursÿ ,2 hours 24 minutes,c,quants
81,"By walking at 3/4th of his usual speed, a man reaches office 20 minutes later than usual. What is his usual time?",30 min ÿÿÿÿÿÿÿÿÿÿÿ, 60 min ÿÿÿÿÿ, 70 min ÿÿÿÿÿ,50 min,b,quants
82,"A passenger train covers the distance between stations X and Y, 50 minutes faster than a goods train. Find this distance if the average speed of the passenger train is 60 kmph and that of goods train is 20 kmph.",20 kms ÿÿÿÿÿÿÿÿÿÿÿ,25 kms ÿÿÿÿ, 45 kms ÿÿÿÿ, 40 kms,b,quants
83,Ram covers a part of the journey at 20 kmph and the balance at 70 kmph taking total of 8 hours to cover the distance of 400 km. How many hours has been driving at 20 kmph?,2 hoursÿ,3 hours 20 minutesÿ,1hours 40 minutesÿ,3 hours 12 minutes,d,quants
84,A can do a work in 14 days and working together A and B can do the same work in 10 days. In what timeÿcan B alone do the work?,25 days,30 days, 23 days, 35 days,d,quants
85,"Manu, Manju and Maya can do a work in 90, 30 and 45 days respectively. If they work together, in how many days will they complete work?",15,10,20,25,a,quants
86," 40 men can catch 200 sharks in 20 days working 6 hours a day. In how many days 25 men can catch 300 sharks working 4 hours a day?
",30,34,24,20,c,quants
87,Amit and Ananthu can do a work in 15 days and 25 days respectively. Amit started the work and left after 3 days. Ananthu took over and completed the work. In how many days was the total work completed?ÿÿÿÿÿÿÿ,28 days, 20 days,23 days,25 days,a,quants
88, If A is thrice as fast as B and together can do a work in 21 days. In how many days A alone can do the work?,36,42,28,54,c,quants
89," 9 men can do a work in 12 days working 4 hours a day. In how many days can 6 men do the same work, working 8 hours a day?",18,9,10,8,b,quants
90, Rohit and Rohan can complete a work in 12 days and 6 days respectively. How much time will they take when working together?,4,3,5,2,a,quants
91,"Sita and Sinu together can do a work in 50 days. With the help of Smitha, they completed the work in 6 days and earn Rs.250. What is the share of Sinu if Sita alone can do the work in 100 days?",Rs.15,Rs.18, Rs.20,Rs.25,a,quants
92, A and B can do a work in 60 days; B and C can do it in 120 days; A and C can do it in 80 days. In what time A alone can do the work?,100,90,80,70,b,quants
93,"Renu can do a piece of work in 6 days, but with the help of her friend Suma , she can do it in 4 days. In what time Suma can do it alone?",10,12,14,15,b,quants
94,"A can finish a work in 20 days, B in 15 days and C in 12 days. B and C start the work but are forced to leave after 2 days. The remaining work was done by A in :",10,11,13,14,d,quants
95,"Anu can do a work in 6 days and Binu alone in 9 days. Anu and Binu undertook to do it for Rs.4500. With help of Minu, they completed the work in 3 days. How much is to be paid to Minu and Anu?","Rs.750, Rs.2250"," Rs.2000, Rs.750"," Rs.750, Rs.2000"," Rs.800, Rs.1250",a,quants
96,"Ram, Krish and Bhim can complete a work in 30 days. Ifÿÿ Ram and Krish together can complete the same work in 40 days, then how long will Bhim take to complete it?",60,80,100,120,d,quants
97, 3 workers transfer a tool weighing 120kg in 12 seconds. How many men are required to transfer it in 9 seconds?,4,5,6,8,a,quants
98,"There is enough provisions for 600 men in an army camp for 25 days. If there were 300 men less, how long will the provision last?",35 days, 40 days, 45 days, 50 days,d,quants
99,2 men and 4 boys can complete a work in 4 days. 5 men and 6 boys can complete the same work in 3 days. The work done by 2 boys is equal to the work of how many men?,4,5,6,7,b,quants
100,A is twice as good a workman as B and together they complete a work in 12 days. In how many days A alone can do the work?,32,34,35,36,d,quants
101,Two pipes can fill a tank in 12 minutes and 20 minutes respectively. Both pipes are opened together and after some time the first pipe is closed and the tank is full in totally 10 minutes. For how many minutes was first pipe open?,8 minutes, 6 minutes,7 minutes, 10 minutes,b,quants
102,"Two pipes can fill a tank in 15 minutes and 12 minutes. The outlet pipe can empty the tank in 20 minutes. If all the pipes are opened when, the tank is empty, then in how many minutes will it take to fill the tank?",12,13,11,10,d,quants
103,Pipe A can fill a tank in 12 hours. Due to a leak at the bottom it takes 20 hours to fill the tank. In what time the leak alone can empty the full tank?,18 hours, 23 hours, 28 hours, 30 hours,d,quants
104,"Two workers A and B manufactured a batch of identical parts. A worked for 2 hours and B worked for 5 hours and they did half the job. Then they worked together for another 3 hours and they had to do (1/20)th of the job. How much time does B take to complete the job, if he worked alone?",24 hoursÿ,12 hoursÿ, 15 hoursÿ, 30 hours,c,quants
105,"Pipe A can fill a tank in 'a' hours. On account of a leak at the bottom of the tank it takes thrice as long to fill the tank. How long will the leak at the bottom of the tank take to empty a full tank, when pipe A is kept closed?",(3/2)a hoursÿÿÿÿÿÿÿÿÿÿÿÿÿ,(2/3)aÿÿÿÿÿÿÿÿÿÿÿÿÿÿ, (4/3)aÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,(3/4)a,a,quants
106,"A and B working together can finish a job in T days. If A works alone and completes the job, he will take T + 5 days. If B works alone and completes the same job, he will take T + 45 days. What is T?",25,60,15,None of these,c,quants
107,"A man can do a piece of work in 60 hours. If he takes his son with him and both work together then the work is finished in 40 hours. How long will the son take to do the same job, if he worked alone on the job?",0 hoursÿ, 120 hoursÿ,24 hoursÿÿÿ, None of these,b,quants
108,"A, B and C can do a work in 5 days, 10 days and 15 days respectively. They started together to do the work but after 2 days A and B left. C did the remaining work (in days)",1,3,5,4,d,quants
109,X alone can do a piece of work in 15 days and Y alone can do it in 10 days. X and Y undertook to do it for Rs.720. With the help of Z they finished it in 5 days. How much is paid to Z?,Rs.360ÿ, Rs.120ÿ, Rs.240ÿ, Rs.300,b,quants
110," Ram starts working on a job and works on it for 12 days and completes 40% of the work. To help him complete the work, he employs Ravi and together they work for another 12 days and the work gets completed. How much more efficient is Ram than Ravi?",50%, 200%ÿÿ, 60%ÿÿÿÿÿÿÿÿÿÿÿÿ,100%,d,quants
111,". A red light flashes 3 times per minute and a green light flashes 5 times in two minutes at regular intervals. If both lights start flashing at the same time, how many times do they flash together in each hour?",30,24,20,60,a,quants
112,A and B can do a piece of work in 21 and 24 days respectively. They started the work together and after some days A leaves the work and B completes the remaining work in 9 days. After how many days did A leave?,5,7,8,6,b,quants
113,"Ram, who is half as efficient as Krish, will take 24 days to complete a work if he worked alone. If Ram and Krish worked together, how long will they take to complete the work?",16 daysÿ, 12 daysÿÿ, 8 daysÿÿ,18 days,c,quants
114,If A : Bÿ = 4 : 7 and B : C = 5 : 9 then A : B : C is :,  20 : 35 : 63ÿÿÿ ÿÿÿÿÿÿÿ , 35 : 36 : 63ÿ,30 : 35 : 65,25 :34: 68,a,quants
115,"Ifÿ m : nÿ = 3 : 4 and n : oÿ = 8 : 9, then m : o is :",1 :3ÿÿÿÿÿÿÿÿÿÿ ,3 :2ÿ ,2 : 3ÿ ,01:02,c,quants
116,"If 15% of A is the same as 20% of B, then A : Bÿ is :",3 : 4ÿÿÿÿ  ÿÿÿÿÿÿÿÿÿÿÿÿ ÿÿÿÿÿÿÿÿ ,04:03,17:16, 16 : 17,b,quants
117,Which of the followingÿ ratios is greatest ?,7 :15ÿÿÿÿÿÿÿÿÿÿÿ ,15:23,17 :25ÿÿÿÿÿÿÿÿÿ ,21:29,d,quants
118, The ratio of number of boys and girls in a class is 3 : 2.ÿ In the 1stÿsemester exam 20% of boys and 25% of girls get more than or equal to 90%ÿ marks. What percentage of students get less than 90% marks ?,56,70,78,80,c,quants
119,A mixture of 85 kg contains milk and water in the ratio 27 : 7. How much more water is to be added to get a new mixture containing milk and water in the ratio 3:1?,5 kgÿÿÿÿ ,6.5 kgÿÿÿÿÿÿÿÿÿÿ ,7.5 kgÿÿÿÿÿÿÿÿÿ ,8 kg,a,quants
120," The ages of Raju and Bijuÿ are in the ratio 3:1. Fifteen years hence, the ratio will be 2:1. Their present ages are:","30yrs, 10yrs ÿÿÿÿÿÿÿÿÿÿÿ ","45 yrs, 15yrsÿ ","21 yrs, 7 yrs ÿÿÿÿÿÿÿÿ ","60yrs, 20yrs",b,quants
121,The speeds of three motor bikes are in the ratio 6 : 5 : 4.ÿ The ratio between the time taken by them to travel the same distance is :,10:12:15,12 : 10 : 8ÿÿÿ ,15 : 12: 10ÿÿ ,10:15:12,a,quants
122,In a company 10% of male staff are same in number as 1/4thÿof the female staff. What is the ratio ofÿmale staff to female staff,3 : 2ÿÿÿÿÿÿÿÿÿÿÿÿ ,5 : 2ÿÿÿÿÿÿÿÿÿÿÿ ÿÿÿÿÿÿÿÿÿÿÿ ,2 : 1ÿÿÿÿÿÿÿÿÿÿÿÿ ,04:03,b,quants
123,The telephone bill of a certain establishment is party fixed and partly varies as the number of calls consumed. When in a certain month 540 calls made the bill is Rs.1800. In another month 620 calls are consumed then the bill becomes Rs.2040. In another month 500 units are consumed due to more holidays. The bill for that month would be :,Rs.1560ÿÿÿÿÿÿÿÿÿÿ ,Rs.1680ÿÿÿÿÿ ,Rs1840ÿ,Rs.1950,b,quants
124,"If 0.4 of a number is equal to 0.06 of another number, the ratio of the numbers is :",2 :3ÿÿÿÿÿ ,3 :4ÿ ÿÿ,3:20ÿÿÿÿÿÿÿÿÿÿ ,20:03,c,quants
125," The ratio of incomes of two person P1 and P2 is 5 : 4 and the ratio of their expenditures is 3 : 2. If at the end of the year, each saves Rs.1600, then what is the income of P1?",Rs.800 ,Rs.2400 ,Rs.4000 ,Rs3200,c,quants
126,The mean proportional between 234 and 104 is :,12ÿ,39ÿ,54ÿ,None of these,d,quants
127,". The seats in an Engineering college for Computer science, electronics and civil are in the ratio of 5 : 7 : 8. There is a proportion to increase these seats by 40%, 50% and 75% respectively. What will be the ratio of increased seats ?",2 : 3 : 4ÿÿÿÿ ,6 : 7 : 8ÿÿÿÿÿÿÿ ,6 : 8 :ÿ 9ÿÿÿÿÿÿ ,none of these,a,quants
128," If 96 is divided intoÿ four parts proportional toÿ 5, 7, 4, 8 then the smallest part is :",16ÿÿ,14ÿÿ,20ÿ,18,a,quants
129,The Price of 357 apples is Rs.2499. What will be theÿ price of 49 dozens of such apples?,Rs.3800 ÿÿÿÿÿ ,Rs.2816ÿÿÿÿÿÿ ,Rs.4116ÿÿÿÿÿÿÿ ,Rs.3116,c,quants
130,Some ladies can do a piece of work in 12 days. Two times the number of such ladies will do half of that work in :,6 daysÿÿÿÿÿÿÿÿÿ ,4 daysÿÿÿÿÿÿÿÿ ,12 days ÿÿÿÿÿÿÿ , 3 days,d,quants
131,"A piece of work can finish by a certain number of men in 100 days. Ifÿ however, there were 10 men less, it would take 10 days more for the work to be finished. How many men were there originally?",75ÿ,82ÿ,100ÿ,110,d,quants
132,"It takes 10 days for digging a trench of 100 m long, 50 m broad and 10 m deep.ÿ What length of trench,25 m broad and 15 m deep can be dug in 30 days ?",400 mÿÿÿÿÿÿÿÿÿ ,200 mÿÿÿÿÿÿÿÿÿ ,100 m ÿÿÿÿÿÿÿÿ , 89m,a,quants
133,A wheel rotates 10 times every minute and moves 20 cm during each rotation. How many metres does the wheel move in one hour?,6 metre ÿÿÿÿÿÿ ,12 metre ÿÿÿÿ ,120 metreÿÿÿ ,1200 metre,c,quants
134,"Ram, Sham and Suresh start business investing in the ratio 1/2 : 1/3: 1/6. The time for which each of them invested their money was in the ratio 8:6:12 respectively. If they get profit of Rs.18000 from the business, then how much share of profit will Ram get?",Rs.4000,Rs.6000ÿÿÿÿÿ,Rs.8000,Rs. 10000,c,quants
135,"The ratio of the number of boys and girls in a college is 7 : 8. If the percentage increase in the number of boys and girls be 20% and 10% respectively, what will be the new ratio?",08:09,17:18,21 : 22ÿÿÿ,Cannot be determined,c,quants
136,"p,q and r are three positive numbers and Q=(p+q+r)/2; If (Q-p):(Q-q):(Q-r) = 2:5:7, then find the ratio of p,q and r ?",04:03:07,12:09:07,9:7:4ÿÿÿÿ,04:03:02,b,quants
137,"A and B together have Rs. 1210. If 4/15 of A's amount is equal to 2/5 of B's amount, how much amount does B have?",Rs. 460ÿÿ,Rs. 484ÿÿ,Rs. 550,Rs. 664,b,quants
138,Two numbers are respectively 20% and 50% more than a third number.The ratio of the two numbers is,2 : 5ÿÿÿÿ,3 : 5ÿÿÿÿ,4 : 5ÿÿÿÿ,06:07,c,quants
139," The ratio of the cost prices of two articles A and B is 4:5.The articles are sold at a profit with their selling prices being in the ratio 5:6.If the profit on article A is half of its cost price, find the ratio of the profits on the articles A and B?",7:10ÿ,9:11ÿÿÿÿÿÿÿÿ,05:09,10:11,d,quants
140,"A sum of money is to be distributed among A, B, C, D in the proportion of 5 : 2 : 4 : 3. If C gets Rs. 1000 more than D, what is the total amount?", Rs. 14000ÿÿ,Rs. 15000ÿÿ, Rs. 20000ÿÿ,None of these,a,quants
141,"If Rs. 782 be divided into three parts, proportional to «:2/3:3/4, then the first part is:",Rs. 182ÿÿ,Rs. 190ÿÿ,Rs. 196ÿÿ,Rs. 204,d,quants
142,"A bag contains 50 paisa, 20 paisa and 10 paisa coins in the ratio 5:3:1.If the total amount in the bag is 640 Rs,find the difference in the amounts contributed by 50 paisa and 20 paisa coins.",Rs.300ÿÿ, Rs.400ÿÿ, Rs.380ÿÿ, None of these,c,quants
143,The speed of an engine is proportional to the square root of the number of wagons attached to it. Without any wagons attached to it the speed of the engine is 60km/hr. With 16 wagons attached to it the speed of the engine is 40km/hr; find the maximum number of wagons that can be attached so that the train moves.,144ÿÿÿÿÿÿÿÿÿ,145ÿÿÿÿÿÿÿÿÿ, 142ÿÿÿÿÿÿÿÿÿ,143,d,quants
144,Find theÿ averageÿ ofÿ firstÿ 40ÿ naturalÿ numbers.,20.5,18,19.5,19,a,quants
145,Findÿ theÿ averageÿ ofÿ allÿ the numbersÿ betweenÿ 6 and 34ÿ whichÿ areÿ divisibleÿ by 5,18,20ÿ,24,30ÿÿ,b,quants
